Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",-3.000000,15.480000,90.000000,top
"C2","100n","C_0402_1005Metric",-2.000000,15.480000,90.000000,top
"C3","100n","C_0402_1005Metric",-1.500000,13.520000,90.000000,top
"C4","100n","C_0402_1005Metric",-0.500000,13.520000,90.000000,top
"C5","100n","C_0402_1005Metric",0.000000,15.480000,90.000000,top
"C6","100n","C_0402_1005Metric",1.000000,15.480000,90.000000,top
"C7","100n","C_0402_1005Metric",1.500000,13.520000,90.000000,top
"C8","100n","C_0402_1005Metric",2.500000,13.520000,90.000000,top
"C9","100n","C_0402_1005Metric",17.272000,10.640000,90.000000,top
"C10","100n","C_0402_1005Metric",18.288000,10.640000,90.000000,top
"CN1","~","DisplayPort_DP-GD-120PWB",2.500000,19.366667,180.000000,top
"R1","100k","R_0402_1005Metric",16.762000,12.192000,0.000000,top
"R2","100k","R_0402_1005Metric",18.798000,12.192000,180.000000,top
"R3","50","R_0402_1005Metric",16.764000,9.146000,0.000000,top
"R4","50","R_0402_1005Metric",18.798000,9.144000,180.000000,top
"R5","50","R_0402_1005Metric",-6.098000,9.144000,0.000000,top
"R6","50","R_0402_1005Metric",-4.062000,9.144000,180.000000,top
"R7","50","R_0402_1005Metric",-3.558000,10.668000,0.000000,top
"R8","50","R_0402_1005Metric",-1.522000,10.668000,180.000000,top
"R9","50","R_0402_1005Metric",-1.018000,9.144000,0.000000,top
"R10","50","R_0402_1005Metric",1.018000,9.144000,180.000000,top
"R11","50","R_0402_1005Metric",1.522000,10.668000,0.000000,top
"R12","50","R_0402_1005Metric",3.558000,10.668000,180.000000,top
"R13","100k","R_0402_1005Metric",22.606000,9.652000,90.000000,top
"R14","10k","R_0402_1005Metric",21.590000,9.654000,-90.000000,top
