Designator,Comment,Footprint,JLCPCB Part #,MPN
C1,100n,Capacitor_SMD:C_0402_1005Metric,C307331,CL05B104KB54PNC
C2,100n,Capacitor_SMD:C_0402_1005Metric,C307331,CL05B104KB54PNC
C3,100n,Capacitor_SMD:C_0402_1005Metric,C307331,CL05B104KB54PNC
C4,100n,Capacitor_SMD:C_0402_1005Metric,C307331,CL05B104KB54PNC
C5,100n,Capacitor_SMD:C_0402_1005Metric,C307331,CL05B104KB54PNC
C6,100n,Capacitor_SMD:C_0402_1005Metric,C307331,CL05B104KB54PNC
C7,100n,Capacitor_SMD:C_0402_1005Metric,C307331,CL05B104KB54PNC
C8,100n,Capacitor_SMD:C_0402_1005Metric,C307331,CL05B104KB54PNC
C9,100n,Capacitor_SMD:C_0402_1005Metric,C307331,CL05B104KB54PNC
C10,100n,Capacitor_SMD:C_0402_1005Metric,C307331,CL05B104KB54PNC
CN1,~,local:DisplayPort_DP-GD-120PWB,,DP-GD-120PWB
R1,100k,Resistor_SMD:R_0402_1005Metric,C25741,0402WGF1003TCE
R2,100k,Resistor_SMD:R_0402_1005Metric,C25741,0402WGF1003TCE
R3,49.9,Resistor_SMD:R_0402_1005Metric,C25120,0402WGF499JTCE
R4,49.9,Resistor_SMD:R_0402_1005Metric,C25120,0402WGF499JTCE
R5,49.9,Resistor_SMD:R_0402_1005Metric,C25120,0402WGF499JTCE
R6,49.9,Resistor_SMD:R_0402_1005Metric,C25120,0402WGF499JTCE
R7,49.9,Resistor_SMD:R_0402_1005Metric,C25120,0402WGF499JTCE
R8,49.9,Resistor_SMD:R_0402_1005Metric,C25120,0402WGF499JTCE
R9,49.9,Resistor_SMD:R_0402_1005Metric,C25120,0402WGF499JTCE
R10,49.9,Resistor_SMD:R_0402_1005Metric,C25120,0402WGF499JTCE
R11,49.9,Resistor_SMD:R_0402_1005Metric,C25120,0402WGF499JTCE
R12,49.9,Resistor_SMD:R_0402_1005Metric,C25120,0402WGF499JTCE
R13,100k,Resistor_SMD:R_0402_1005Metric,C25741,0402WGF1003TCE
R14,10k,Resistor_SMD:R_0402_1005Metric,C25744,0402WGF1002TCE
